ID do Problema,Descrição,Estado,Gravidade,Pontos da História,Caminho do Projeto,Variante de Local,Caminho,Linha,Coluna,ID do Incidente,Link de Ajuda,Nome do Assembly,Versão do Assembly,Chave Pública do Assembly,Trecho
NuGet.0005,O pacote NuGet foi preterido,Active,Optional,1,GerenciadorDeAluguel\GerenciadorDeAluguel.csproj,File,GerenciadorDeAluguel\GerenciadorDeAluguel.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recomendação:  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,As estruturas de destino do projeto precisam ser alteradas,Active,Mandatory,1,GerenciadorDeAluguel\GerenciadorDeAluguel.csproj,File,GerenciadorDeAluguel\GerenciadorDeAluguel.csproj,,,,,,,,Estrutura de destino atual: net6.0 Estrutura de destino recomendada: net8.0
